Point,Latitude,Longitude,Time (peak),Number of people (peak),Other transport (peak)
Burnett St entrance,-25.75101519,28.23146645,,8,
Prospect St entrance,-25.75234639,28.2323068,,31,
South St entrance,-25.75378603,28.2335171,,14,
Duxbury Rd entrance,-25.75481877,28.2353115,09:12 10/08,115,
Lunnon Rd entrance,-25.75614827,28.23578719,08:16 11/08,109,
Lynnwood Rd (main entrance),-25.75592357,28.23137307,,9,
Sci-Enza,-25.75205669,28.23188836,11:21 08/08,106,
Old Agriculture,-25.75222357,28.23060924,11:24 08/08,14,
Engineering 1,-25.75325915,28.22862846,11:22 03/08,20,
Steers,-25.75369609,28.22869155,11:15 03/08,44,
Natural Sciences 2,-25.75313992,28.22905491,11:19 03/08,70,
Engineering 3 (behind),-25.75493681,28.22801462,10:35 04/08,8,
Theology walkway,-25.75458016,28.22945624,11:20 08/08,43,1 golf-cart
South Campus Bridge,-25.75573594,28.22867983,11:23 08/08,37,
Library,-25.75520438,28.23069958,11:16 03/08,132,
Chancellor's Building,-25.75404116,28.23079899,12:20 01/08,161,1 bicycle
Thuto,-25.75301575,28.23167406,10:20 03/08,202,
Piazza Entrance,-25.7540311,28.23153063,12:23 01/08,182,
EMS bridge,-25.75564641,28.23346513,11:25 03/08,110,
Centenary,-25.75408539,28.23280138,10:24 03/08,216,
Graduate Centre,-25.75511279,28.23404256,11:24 08/08,89,2 bicycles
Monastery Hall,-25.75434073,28.233134,10:27 03/08,64,
Behind EMS,-25.75517681,28.23328974,11:28 03/08,58,
Bioinformatics Building,-25.7559532,28.23477942,13:20 01/08,51,
IT building,-25.75553804,28.23301894,11:22 03/08,242,1 golf-cart
SCU tunnel,-25.75460068,28.23167537,10;23 07/08,27,
SSC entrance,-25.7552503,28.23135406,11:19 03/08,87,
Geography-Thuto walkway,-25.75334914,28.23032377,11:28 03/08,123,1 bicycle
Old Arts,-25.75394088,28.22988438,11:25 03/08,40,1 bicycle
Informatorium entrance,-25.75603992,28.23264836,12:21 08/08,41,1 golf-cart
Behind Agri Annex,-25.75667376,28.23432535,12:26 08/08,31,"4 bicycles, 1 golf-cart"